21,   8.7, 21,  40, 17.9, 14.5, 0.679
21.5, 8.1, 77,  30, 19.6, 6.6,  0.876
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21,   8.7, 21,  40, 17.9, 14.5, 0.679
18.8, 8.8, 129, 21, 19.1, 9.9,  0.697
21.5, 8.1, 77,  30, 19.6, 6.6,  0.876
19.6, 9,   467, 29, 20,   2.9,  0.956
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21.5, 8.1, 77,  30, 19.6, 6.6,  0.876
21,   8.7, 21,  40, 17.9, 14.5, 0.679
18.8, 8.8, 129, 21, 19.1, 9.9,  0.697
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21.5, 8.1, 77,  30, 19.6, 6.6,  0.876
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21.5, 8.1, 77,  30, 19.6, 6.6,  0.876
21,   8.7, 21,  40, 17.9, 14.5, 0.679
21,   8.7, 21,  40, 17.9, 14.5, 0.679
