29.2,10.7,55,455,16.8,11,0.669,1
35.6,13.5,88,185,16.6,5.4,0.909,1
31.7,14.4,237,170,29.9,11.7,0.985,1
27.9,10.3,75,122,23.6,7.2,0.548,1
33.5,12.5,284,197,31.9,13.5,0.543,1
34.7,13.9,98,65,27.4,13.4,0.925,1
33,12,486,406,19.7,12.6,0.926,1
27,10.4,413,134,17.9,14.2,0.714,1
27.8,12.5,323,387,30.7,14.4,0.553,1
38.7,11.9,424,128,25.9,13.1,0.801,1
35.8,12.3,378,313,28.6,22,0.794,1
38.9,13.7,446,153,32.5,26.9,0.783,1
33.3,11,464,239,18.9,5.1,0.597,1
32.8,13.6,177,74,30.8,7.4,0.82,1
36.8,10.1,265,36,27.2,16.8,0.527,1
30.5,11.4,382,227,24.6,6.4,0.686,1
39.4,9.8,286,95,20.3,13.8,0.587,1
31.2,12.8,125,295,26.1,13.5,0.62,1
32,12.2,60,174,17.8,10.4,0.743,1
37.3,13.8,490,399,27.7,4.5,0.671,1
35.4,9.8,155,32,22.4,9.5,0.631,1
30.9,11.3,309,49,29,21.6,0.51,1
35.1,10.3,475,445,21.9,17,0.729,1
37.9,11.6,327,141,23.9,13.1,0.937,1
39.1,14.2,220,182,32.8,6,0.558,1
31.1,13.1,212,42,29.9,13.7,0.875,1
29,14,499,257,17.1,7,0.788,1
29.6,10.5,194,162,25.5,13.5,0.953,1
31.5,11.7,246,139,26.6,8.2,0.897,1
36.1,10.9,143,100,26.9,12.8,0.57,1
32.6,12.1,68,374,18.6,5.3,0.52,1
30.3,13,448,337,19.2,16.6,0.885,1
28.3,13.9,210,383,19.8,14.3,0.807,1
31.3,14,170,458,26.9,10.3,0.653,1
27.3,10.4,396,211,32.4,27.2,0.693,1
34.4,13.9,149,470,22.8,18.6,0.972,1
33.1,13.7,279,275,24.8,8.3,0.832,1
27.7,11.2,461,109,21.3,6.8,0.512,1
35.3,10.9,46,85,25.9,17.3,0.601,1
38.4,10.8,110,158,21.7,2.6,0.919,1
34,14.1,161,80,16.8,14.8,0.683,1
36.2,10.6,242,54,31.6,18.1,0.766,1
37.6,10.9,420,419,27.9,5.7,0.948,1
34.5,12.6,182,202,20,4,0.52,1
30.5,11.1,222,484,29.5,11.7,0.894,1
33.7,11.5,189,317,27.7,13.4,0.539,1
30.2,11.4,476,44,28.8,5,0.966,1
28.1,13.2,304,492,25.3,6.2,0.721,1
32.4,14.1,403,439,28.1,16.2,0.837,1
30.1,14.2,137,62,26.3,9.4,0.611,1
28.9,9.9,373,425,29.4,13.1,0.636,1
30.7,11.8,387,437,22.5,17.1,0.644,1
26.5,12,488,359,20.1,13.1,0.75,1
30.8,12.3,320,216,19.4,11.6,0.504,1
29.6,13.2,435,367,33.2,27.2,0.995,1
28.7,14.3,202,379,24.4,14.8,0.531,1
31.8,12.9,470,495,20.8,2.8,0.628,1
37.8,13.7,29,303,27.3,6.9,0.931,1
32.7,12.2,167,307,17.3,2.6,0.904,1
34.3,10.7,342,343,31.9,23.6,0.978,1
37.4,11.4,438,328,22.3,12.4,0.814,1
29.3,12.7,353,102,21.8,15.3,0.855,1
39.5,10.5,86,394,19.1,6.6,0.981,1
26.5,10.6,234,268,31.3,22.3,0.648,1
32.3,13.4,92,411,18,3.1,0.876,1
35.7,11.5,129,253,24.3,7.3,0.679,1
39,13.5,390,464,20.7,10.5,0.658,1
28.5,13.3,367,362,18.7,4,0.958,1
37.1,10.2,131,226,29.7,22.5,0.61,1
32.2,11,452,199,23.3,9.7,0.775,1
36.6,12.8,428,417,30.3,24.3,0.703,1
34.9,13.3,350,475,28.3,22.8,0.86,1
39.2,11.2,414,149,18.3,8,0.581,1
29.8,11.9,404,166,29.2,19.4,0.576,1
33.5,12.6,184,72,23.1,3.4,0.848,1
26.8,13,270,288,25.7,15.5,0.734,1
38.4,12.9,366,350,22.1,18.7,0.568,1
29.3,12.8,256,318,24.9,9.3,0.911,1
36.5,11.8,103,479,23.8,12.8,0.719,1
26.8,9.7,255,289,26.4,12,0.662,1
28.2,11.6,315,281,17.4,5.1,0.777,1
37.1,12.4,111,333,20.4,14.9,0.756,1
38.2,12.4,338,489,17.6,12.1,0.817,1
36.8,10.5,72,232,24.1,20.6,0.762,1
27.5,13.4,261,265,18.4,4.2,0.737,1
37.5,10,21,428,32.1,16,0.591,1
27.4,11.2,335,218,20.9,18.1,0.842,1
28.4,10.2,82,246,31.5,22.3,0.796,1
27.2,10.8,39,116,25.1,8.8,0.707,1
34.2,13.6,303,242,30.5,21.1,0.96,1
38.1,13.1,35,112,30.9,8.5,0.827,1
34.7,11.7,292,20,21.2,16.7,0.616,1
35.9,9.6,204,88,31.1,11.5,0.87,1
29.9,12.1,295,403,30.2,4.2,0.991,1
35.1,9.7,33,354,28.6,6.3,0.749,1
33,9.9,121,27,22.9,4.3,0.858,1
38.6,12.7,150,191,32.7,20.6,0.564,1
36.3,9.8,53,324,21.5,11.5,0.7,1
31.6,10,227,448,32.9,20.5,0.942,1
33.9,14.3,357,273,23.5,13.3,0.887,1
29.2,10.7,55,455,16.8,11,0.669,2
35.6,13.5,88,185,16.6,5.4,0.909,2
31.7,14.4,237,170,29.9,11.7,0.985,2
27.9,10.3,75,122,23.6,7.2,0.548,2
33.5,12.5,284,197,31.9,13.5,0.543,2
34.7,13.9,98,65,27.4,13.4,0.925,2
33,12,486,406,19.7,12.6,0.926,2
27,10.4,413,134,17.9,14.2,0.714,2
27.8,12.5,323,387,30.7,14.4,0.553,2
38.7,11.9,424,128,25.9,13.1,0.801,2
35.8,12.3,378,313,28.6,22,0.794,2
38.9,13.7,446,153,32.5,26.9,0.783,2
33.3,11,464,239,18.9,5.1,0.597,2
32.8,13.6,177,74,30.8,7.4,0.82,2
36.8,10.1,265,36,27.2,16.8,0.527,2
30.5,11.4,382,227,24.6,6.4,0.686,2
39.4,9.8,286,95,20.3,13.8,0.587,2
31.2,12.8,125,295,26.1,13.5,0.62,2
32,12.2,60,174,17.8,10.4,0.743,2
37.3,13.8,490,399,27.7,4.5,0.671,2
35.4,9.8,155,32,22.4,9.5,0.631,2
30.9,11.3,309,49,29,21.6,0.51,2
35.1,10.3,475,445,21.9,17,0.729,2
37.9,11.6,327,141,23.9,13.1,0.937,2
39.1,14.2,220,182,32.8,6,0.558,2
31.1,13.1,212,42,29.9,13.7,0.875,2
29,14,499,257,17.1,7,0.788,2
29.6,10.5,194,162,25.5,13.5,0.953,2
31.5,11.7,246,139,26.6,8.2,0.897,2
36.1,10.9,143,100,26.9,12.8,0.57,2
32.6,12.1,68,374,18.6,5.3,0.52,2
30.3,13,448,337,19.2,16.6,0.885,2
28.3,13.9,210,383,19.8,14.3,0.807,2
31.3,14,170,458,26.9,10.3,0.653,2
27.3,10.4,396,211,32.4,27.2,0.693,2
34.4,13.9,149,470,22.8,18.6,0.972,2
33.1,13.7,279,275,24.8,8.3,0.832,2
27.7,11.2,461,109,21.3,6.8,0.512,2
35.3,10.9,46,85,25.9,17.3,0.601,2
38.4,10.8,110,158,21.7,2.6,0.919,2
34,14.1,161,80,16.8,14.8,0.683,2
36.2,10.6,242,54,31.6,18.1,0.766,2
37.6,10.9,420,419,27.9,5.7,0.948,2
34.5,12.6,182,202,20,4,0.52,2
30.5,11.1,222,484,29.5,11.7,0.894,2
33.7,11.5,189,317,27.7,13.4,0.539,2
30.2,11.4,476,44,28.8,5,0.966,2
28.1,13.2,304,492,25.3,6.2,0.721,2
32.4,14.1,403,439,28.1,16.2,0.837,2
30.1,14.2,137,62,26.3,9.4,0.611,2
28.9,9.9,373,425,29.4,13.1,0.636,2
30.7,11.8,387,437,22.5,17.1,0.644,2
26.5,12,488,359,20.1,13.1,0.75,2
30.8,12.3,320,216,19.4,11.6,0.504,2
29.6,13.2,435,367,33.2,27.2,0.995,2
28.7,14.3,202,379,24.4,14.8,0.531,2
31.8,12.9,470,495,20.8,2.8,0.628,2
37.8,13.7,29,303,27.3,6.9,0.931,2
32.7,12.2,167,307,17.3,2.6,0.904,2
34.3,10.7,342,343,31.9,23.6,0.978,2
37.4,11.4,438,328,22.3,12.4,0.814,2
29.3,12.7,353,102,21.8,15.3,0.855,2
39.5,10.5,86,394,19.1,6.6,0.981,2
26.5,10.6,234,268,31.3,22.3,0.648,2
32.3,13.4,92,411,18,3.1,0.876,2
35.7,11.5,129,253,24.3,7.3,0.679,2
39,13.5,390,464,20.7,10.5,0.658,2
28.5,13.3,367,362,18.7,4,0.958,2
37.1,10.2,131,226,29.7,22.5,0.61,2
